epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2987.05,1.1139,0.75341,1.30695,0.72663,0.69138,0.77806,0.51126,1.2184,0.77201,1.42758,0.0097294,0.0097294,0.0097294
43,3057.84,1.11167,0.74823,1.29315,0.67618,0.69886,0.76078,0.49328,1.23385,0.7916,1.44583,0.0097228,0.0097228,0.0097228
44,3128.63,1.10288,0.73476,1.29467,0.70187,0.72432,0.77271,0.50631,1.25414,0.76231,1.45602,0.0097162,0.0097162,0.0097162
45,3199.38,1.10107,0.73069,1.28755,0.71038,0.6884,0.763,0.5174,1.18594,0.77949,1.40577,0.0097096,0.0097096,0.0097096
46,3270.2,1.10044,0.71614,1.27639,0.70388,0.70347,0.74229,0.44269,1.40316,0.80829,1.59744,0.009703,0.009703,0.009703
47,3341.01,1.08812,0.71796,1.2824,0.73445,0.71499,0.78894,0.53405,1.17658,0.73503,1.40115,0.0096964,0.0096964,0.0096964
48,3411.85,1.07994,0.70869,1.27748,0.7284,0.6643,0.74886,0.43838,1.4519,0.80473,1.62609,0.0096898,0.0096898,0.0096898
49,3482.66,1.08116,0.70043,1.27726,0.72849,0.7383,0.78746,0.54688,1.14663,0.71948,1.37909,0.0096832,0.0096832,0.0096832
50,3553.5,1.07913,0.70263,1.27825,0.71856,0.73297,0.7929,0.54259,1.16396,0.72961,1.39506,0.0096766,0.0096766,0.0096766
51,3624.31,1.07103,0.69633,1.27993,0.7554,0.73227,0.80766,0.55295,1.18274,0.70343,1.40133,0.00967,0.00967,0.00967
52,3695.19,1.07122,0.69286,1.2642,0.71887,0.72156,0.78099,0.53857,1.14075,0.7261,1.37631,0.0096634,0.0096634,0.0096634
53,3765.92,1.06722,0.68414,1.25776,0.75553,0.74123,0.80524,0.5348,1.23469,0.70561,1.44292,0.0096568,0.0096568,0.0096568
54,3836.68,1.06022,0.68511,1.26737,0.74003,0.7278,0.785,0.38253,1.82067,0.83855,2.03759,0.0096502,0.0096502,0.0096502
55,3907.42,1.06692,0.67289,1.26416,0.74096,0.75395,0.81453,0.57211,1.11124,0.69171,1.35145,0.0096436,0.0096436,0.0096436
56,3978.33,1.05184,0.67506,1.26194,0.75338,0.75233,0.82274,0.58589,1.09134,0.66998,1.34552,0.009637,0.009637,0.009637
57,4049.19,1.04616,0.6638,1.25024,0.70987,0.73134,0.78608,0.48732,1.41039,0.74553,1.58901,0.0096304,0.0096304,0.0096304
58,4119.92,1.04328,0.66609,1.25282,0.71974,0.75506,0.80557,0.56169,1.10068,0.68721,1.35327,0.0096238,0.0096238,0.0096238
59,4190.72,1.04604,0.67048,1.24772,0.74199,0.77287,0.82017,0.58527,1.09462,0.67311,1.342,0.0096172,0.0096172,0.0096172
60,4261.46,1.03919,0.65603,1.24872,0.76627,0.75308,0.82395,0.57437,1.11807,0.68255,1.36783,0.0096106,0.0096106,0.0096106
61,4332.26,1.03319,0.65896,1.24132,0.76693,0.72732,0.80763,0.57468,1.09673,0.68387,1.3411,0.009604,0.009604,0.009604
62,4403.02,1.03569,0.65255,1.24286,0.71073,0.71497,0.77029,0.36118,1.8082,0.85096,2.02617,0.0095974,0.0095974,0.0095974
63,4473.77,1.02776,0.65026,1.24349,0.74471,0.74036,0.81362,0.55748,1.15205,0.68709,1.38207,0.0095908,0.0095908,0.0095908
64,4544.58,1.02938,0.64719,1.23665,0.76675,0.72932,0.8178,0.56108,1.16099,0.68803,1.38463,0.0095842,0.0095842,0.0095842
65,4615.35,1.02752,0.63929,1.23445,0.78635,0.7578,0.83602,0.59033,1.11183,0.65474,1.35325,0.0095776,0.0095776,0.0095776
66,4686.3,1.02561,0.63346,1.23705,0.78871,0.73229,0.81793,0.57683,1.11628,0.67547,1.3557,0.009571,0.009571,0.009571
67,4757.12,1.02306,0.63401,1.24172,0.76021,0.75939,0.84134,0.58745,1.12067,0.65748,1.35641,0.0095644,0.0095644,0.0095644
68,4827.87,1.01819,0.62381,1.22967,0.79108,0.76176,0.83549,0.59439,1.09184,0.65209,1.33473,0.0095578,0.0095578,0.0095578
69,4898.83,1.01359,0.6234,1.22919,0.7586,0.7779,0.83107,0.58374,1.12296,0.64829,1.36423,0.0095512,0.0095512,0.0095512
70,4969.61,1.00429,0.61063,1.22066,0.76048,0.78864,0.83848,0.59794,1.09685,0.63884,1.34168,0.0095446,0.0095446,0.0095446
71,5040.5,1.00171,0.61508,1.22407,0.76461,0.7505,0.82473,0.57247,1.13107,0.65556,1.37104,0.009538,0.009538,0.009538
72,5111.37,1.00348,0.61414,1.22674,0.77668,0.76019,0.83621,0.5946,1.08955,0.64723,1.33535,0.0095314,0.0095314,0.0095314
