epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4065,4.18234,6.02224,4.29747,0,0,0,0,4.10784,5.05211,4.1564,0.00329932,0.00329932,0.00329932
2,107.215,3.18066,4.40916,3.35938,0.00469,0.13288,0.00398,0.00125,2.7601,inf,4.5677,0.00662828,0.00662828,0.00662828
3,156.782,2.31692,2.93971,2.25977,0.09037,0.23925,0.10198,0.03972,2.0336,2.48507,2.15025,0.00995283,0.00995283,0.00995283
4,205.265,2.00571,2.38,1.95616,0.14974,0.27279,0.14569,0.0666,1.83848,2.05493,1.98977,0.0099802,0.0099802,0.0099802
5,254.3,1.79832,2.04495,1.79464,0.23823,0.36539,0.24932,0.12598,1.64215,1.79682,1.80968,0.0099736,0.0099736,0.0099736
6,303.302,1.68213,1.79865,1.6887,0.26173,0.45521,0.31059,0.16523,1.56628,1.53355,1.73441,0.009967,0.009967,0.009967
7,351.937,1.61409,1.6501,1.64206,0.24159,0.36978,0.25729,0.13194,1.59704,1.69122,1.76186,0.0099604,0.0099604,0.0099604
8,400.457,1.54837,1.54072,1.59414,0.33005,0.43116,0.3403,0.18658,1.59307,1.56746,1.73788,0.0099538,0.0099538,0.0099538
9,449.394,1.49255,1.43776,1.54755,0.32987,0.48293,0.38553,0.20949,1.48727,1.41717,1.65365,0.0099472,0.0099472,0.0099472
10,498.364,1.46161,1.35888,1.51569,0.40524,0.48154,0.3881,0.22779,1.46942,1.4849,1.62947,0.0099406,0.0099406,0.0099406
11,547.212,1.40701,1.29478,1.48901,0.46077,0.48063,0.48197,0.29231,1.401,1.24107,1.57766,0.009934,0.009934,0.009934
12,595.74,1.38663,1.23062,1.46584,0.40421,0.57874,0.50449,0.30566,1.37544,1.19514,1.556,0.0099274,0.0099274,0.0099274
13,644.51,1.36201,1.194,1.45274,0.49336,0.54488,0.53689,0.33037,1.33307,1.12239,1.51655,0.0099208,0.0099208,0.0099208
14,693.334,1.34608,1.14771,1.42952,0.43575,0.52833,0.47891,0.29733,1.35931,1.13905,1.54234,0.0099142,0.0099142,0.0099142
15,741.815,1.32311,1.11731,1.42557,0.44474,0.53471,0.51002,0.30437,1.40764,1.18567,1.57881,0.0099076,0.0099076,0.0099076
16,790.079,1.29875,1.08583,1.40416,0.51033,0.58638,0.57298,0.3597,1.28424,1.04763,1.47775,0.009901,0.009901,0.009901
17,838.444,1.27748,1.06697,1.40074,0.5443,0.53816,0.57242,0.36273,1.30901,1.05353,1.49967,0.0098944,0.0098944,0.0098944
18,886.781,1.26518,1.02813,1.38055,0.5856,0.55992,0.59443,0.3853,1.27509,1.02967,1.46825,0.0098878,0.0098878,0.0098878
19,935.047,1.24186,1.00183,1.36374,0.56165,0.63563,0.64296,0.41917,1.25002,0.96238,1.44625,0.0098812,0.0098812,0.0098812
20,983.501,1.24289,0.98542,1.35536,0.57862,0.6131,0.63851,0.42076,1.21703,0.95464,1.42377,0.0098746,0.0098746,0.0098746
21,1032.3,1.21587,0.96438,1.34415,0.53237,0.62253,0.61821,0.40474,1.23462,0.97315,1.44298,0.009868,0.009868,0.009868
22,1081.18,1.21046,0.93333,1.33037,0.59145,0.62095,0.6483,0.43107,1.24808,0.94,1.42808,0.0098614,0.0098614,0.0098614
23,1129.85,1.21178,0.9334,1.32607,0.60902,0.60378,0.65049,0.42638,1.21903,0.93014,1.42269,0.0098548,0.0098548,0.0098548
24,1178.01,1.19982,0.91414,1.33103,0.64036,0.61565,0.67686,0.4528,1.21551,0.90291,1.41306,0.0098482,0.0098482,0.0098482
25,1226.38,1.17968,0.88068,1.31147,0.60158,0.5677,0.60154,0.39675,1.22724,0.96503,1.42122,0.0098416,0.0098416,0.0098416
26,1274.92,1.17521,0.8759,1.30952,0.59735,0.69668,0.70953,0.4805,1.19563,0.86094,1.40157,0.009835,0.009835,0.009835
27,1323.33,1.15557,0.85696,1.30247,0.6799,0.62801,0.71329,0.48888,1.17231,0.81865,1.38625,0.0098284,0.0098284,0.0098284
28,1371.61,1.15677,0.84469,1.30064,0.66414,0.62676,0.70135,0.47808,1.15715,0.84678,1.37598,0.0098218,0.0098218,0.0098218
29,1420.8,1.14335,0.83669,1.29207,0.70145,0.65705,0.72865,0.50299,1.15044,0.80454,1.36449,0.0098152,0.0098152,0.0098152
30,1470.21,1.13113,0.82011,1.27611,0.62688,0.66558,0.69369,0.47042,1.17242,0.82585,1.38222,0.0098086,0.0098086,0.0098086
31,1518.9,1.13576,0.81421,1.28284,0.70331,0.65621,0.73334,0.50339,1.13837,0.8029,1.3547,0.009802,0.009802,0.009802
32,1567.25,1.12263,0.79987,1.27329,0.6761,0.7018,0.74139,0.50698,1.14957,0.798,1.36603,0.0097954,0.0097954,0.0097954
33,1616.64,1.111,0.77952,1.26705,0.67253,0.71033,0.76042,0.53195,1.13097,0.77604,1.35556,0.0097888,0.0097888,0.0097888
34,1665.3,1.1105,0.7816,1.27169,0.69504,0.72672,0.75893,0.52257,1.15204,0.76172,1.36737,0.0097822,0.0097822,0.0097822
35,1715.25,1.10344,0.76656,1.25763,0.70168,0.68417,0.76104,0.52746,1.1264,0.77335,1.34695,0.0097756,0.0097756,0.0097756
36,1763.99,1.08155,0.75556,1.24566,0.69339,0.66231,0.72435,0.49348,1.15667,0.80114,1.37673,0.009769,0.009769,0.009769
37,1812.78,1.09263,0.75534,1.26105,0.68682,0.6736,0.74679,0.52314,1.15544,0.79401,1.36507,0.0097624,0.0097624,0.0097624
38,1861.11,1.07075,0.73243,1.2349,0.7048,0.6818,0.76574,0.53077,1.13112,0.76506,1.35013,0.0097558,0.0097558,0.0097558
39,1910.29,1.07913,0.7351,1.23828,0.71909,0.71346,0.77193,0.54332,1.12049,0.75165,1.34104,0.0097492,0.0097492,0.0097492
40,1958.6,1.07607,0.72828,1.24096,0.70423,0.70211,0.76867,0.53921,1.11734,0.75567,1.33174,0.0097426,0.0097426,0.0097426
