epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1938.48,1.05306,0.71177,1.2285,0.68186,0.74432,0.77214,0.54211,1.12687,0.73445,1.34134,0.0097294,0.0097294,0.0097294
43,1984.16,1.05617,0.71305,1.21803,0.71394,0.70001,0.77337,0.53995,1.10712,0.72472,1.33327,0.0097228,0.0097228,0.0097228
44,2029.73,1.0409,0.69188,1.20985,0.72737,0.68778,0.7781,0.55813,1.08542,0.72,1.31339,0.0097162,0.0097162,0.0097162
45,2075.36,1.04134,0.69615,1.21748,0.67834,0.71656,0.76031,0.54361,1.10357,0.7251,1.32765,0.0097096,0.0097096,0.0097096
46,2120.92,1.02987,0.68307,1.21164,0.71692,0.7353,0.78741,0.565,1.094,0.6932,1.31611,0.009703,0.009703,0.009703
47,2166.63,1.02482,0.67623,1.19972,0.69412,0.72058,0.78086,0.56285,1.09296,0.70075,1.31709,0.0096964,0.0096964,0.0096964
48,2212.15,1.01972,0.67587,1.20163,0.72398,0.74308,0.79664,0.56784,1.08871,0.68343,1.31149,0.0096898,0.0096898,0.0096898
49,2257.89,1.0158,0.66336,1.19881,0.70643,0.75215,0.79236,0.56994,1.0859,0.68203,1.317,0.0096832,0.0096832,0.0096832
50,2303.62,1.01724,0.6701,1.20152,0.72722,0.74066,0.80198,0.58183,1.07166,0.67044,1.30279,0.0096766,0.0096766,0.0096766
51,2349.38,1.00177,0.64807,1.18645,0.76242,0.68719,0.78181,0.56314,1.08251,0.6956,1.30628,0.00967,0.00967,0.00967
52,2395.05,1.01185,0.65229,1.1901,0.74015,0.7495,0.80952,0.58636,1.06304,0.66794,1.2936,0.0096634,0.0096634,0.0096634
53,2440.71,1.00707,0.65011,1.18982,0.73337,0.76066,0.80811,0.58485,1.07662,0.66375,1.30418,0.0096568,0.0096568,0.0096568
54,2486.39,0.99968,0.64141,1.18875,0.7588,0.75116,0.81816,0.59434,1.06647,0.65239,1.29771,0.0096502,0.0096502,0.0096502
