epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7988,4.04883,5.94237,4.20966,0,0,0,0,4.11394,5.04314,4.16869,0.00329932,0.00329932,0.00329932
2,100.872,2.83745,3.83804,2.97211,0.1535,0.06636,0.02019,0.00588,2.37219,13.895,2.64424,0.00662828,0.00662828,0.00662828
3,149.573,2.21136,2.77303,2.13891,0.17523,0.31461,0.10424,0.04054,2.02147,3.22444,2.1352,0.00995283,0.00995283,0.00995283
4,197.452,1.92627,2.3091,1.88066,0.18653,0.30624,0.15974,0.06895,2.04393,2.614,2.15712,0.0099802,0.0099802,0.0099802
5,245.416,1.74975,1.99908,1.74476,0.18111,0.3307,0.19557,0.09277,1.6859,1.95863,1.81672,0.0099736,0.0099736,0.0099736
6,293.098,1.64993,1.77067,1.65374,0.26288,0.4601,0.29865,0.15586,1.56364,1.67733,1.71669,0.009967,0.009967,0.009967
7,340.84,1.59007,1.62557,1.60658,0.30263,0.44654,0.32471,0.16165,1.59123,1.56948,1.72698,0.0099604,0.0099604,0.0099604
8,388.387,1.53217,1.5221,1.56282,0.29153,0.40648,0.29535,0.15521,1.66015,1.66784,1.76581,0.0099538,0.0099538,0.0099538
9,435.749,1.47255,1.41546,1.51681,0.40921,0.48815,0.43352,0.25117,1.46876,1.34407,1.6236,0.0099472,0.0099472,0.0099472
10,483.219,1.44988,1.34993,1.49677,0.28695,0.33123,0.25549,0.13515,1.69612,1.73207,1.79989,0.0099406,0.0099406,0.0099406
11,530.547,1.39283,1.27334,1.46289,0.47259,0.52159,0.49791,0.29508,1.38783,1.20124,1.54032,0.009934,0.009934,0.009934
12,578.036,1.37014,1.20991,1.44193,0.43369,0.55486,0.5127,0.3153,1.36534,1.1451,1.5225,0.0099274,0.0099274,0.0099274
