epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9459,4.21666,6.05871,4.26743,0,0,0,0,4.10644,5.02218,4.1573,0.00329932,0.00329932,0.00329932
2,72.577,3.06662,4.29366,3.30113,0.00163,0.08431,0.00161,0.00047,3.84888,22.0844,4.61371,0.00662828,0.00662828,0.00662828
3,105.359,2.263,2.89858,2.21013,0.1633,0.22212,0.10455,0.04238,2.02017,2.99519,2.15604,0.00995283,0.00995283,0.00995283
4,138.032,1.9499,2.34478,1.92358,0.15524,0.19593,0.11395,0.05018,2.04385,2.87052,2.18681,0.0099802,0.0099802,0.0099802
5,170.431,1.78102,1.99322,1.77401,0.27482,0.31836,0.24299,0.11709,1.68494,1.79476,1.84073,0.0099736,0.0099736,0.0099736
6,202.807,1.66373,1.79185,1.6795,0.26861,0.41238,0.28077,0.14531,1.73159,1.69321,1.86349,0.009967,0.009967,0.009967
7,235.202,1.5844,1.62447,1.62033,0.304,0.41993,0.3186,0.1736,1.53587,1.49972,1.69618,0.0099604,0.0099604,0.0099604
8,267.531,1.52667,1.52337,1.56612,0.28362,0.44015,0.34625,0.18787,1.57774,1.44934,1.70872,0.0099538,0.0099538,0.0099538
9,299.922,1.4888,1.42362,1.54257,0.36648,0.45357,0.33924,0.18274,1.56041,1.56768,1.71745,0.0099472,0.0099472,0.0099472
10,332.156,1.44847,1.35923,1.51093,0.40784,0.46736,0.41078,0.22994,1.52032,1.36765,1.66873,0.0099406,0.0099406,0.0099406
11,364.458,1.41801,1.28561,1.48853,0.4109,0.45785,0.41598,0.24113,1.47689,1.38593,1.62962,0.009934,0.009934,0.009934
12,396.883,1.38279,1.23577,1.46149,0.40754,0.4399,0.41768,0.23507,1.49431,1.40089,1.63077,0.0099274,0.0099274,0.0099274
13,429.07,1.36216,1.19395,1.44874,0.448,0.48264,0.47061,0.28153,1.40165,1.24216,1.57822,0.0099208,0.0099208,0.0099208
14,461.344,1.32777,1.13755,1.4225,0.51005,0.5277,0.532,0.33161,1.32976,1.10971,1.52108,0.0099142,0.0099142,0.0099142
15,493.609,1.32165,1.11359,1.42315,0.51487,0.56427,0.56933,0.35506,1.32543,1.07106,1.50397,0.0099076,0.0099076,0.0099076
16,525.97,1.28607,1.0739,1.38688,0.45281,0.52557,0.48922,0.3055,1.44445,1.31454,1.58469,0.009901,0.009901,0.009901
17,558.25,1.28076,1.05098,1.38391,0.51297,0.51999,0.53128,0.31733,1.34563,1.13515,1.51981,0.0098944,0.0098944,0.0098944
18,590.357,1.26981,1.03141,1.37737,0.44088,0.52408,0.49906,0.30977,1.36233,1.22512,1.53692,0.0098878,0.0098878,0.0098878
19,622.585,1.24764,1.00587,1.36622,0.59493,0.60523,0.64129,0.42054,1.20636,0.95476,1.41909,0.0098812,0.0098812,0.0098812
20,654.917,1.23328,0.96525,1.35463,0.57966,0.59664,0.62428,0.408,1.23301,0.96396,1.42685,0.0098746,0.0098746,0.0098746
21,687.168,1.22345,0.94864,1.3463,0.61166,0.60252,0.65065,0.43227,1.21907,0.93681,1.42333,0.009868,0.009868,0.009868
22,719.413,1.21021,0.94554,1.33451,0.62757,0.5787,0.63742,0.42969,1.21413,0.9321,1.41412,0.0098614,0.0098614,0.0098614
23,751.654,1.20894,0.93292,1.33424,0.64617,0.63578,0.6815,0.45528,1.23664,0.88657,1.41981,0.0098548,0.0098548,0.0098548
24,783.944,1.19155,0.90971,1.32475,0.57385,0.6273,0.65183,0.42628,1.20681,0.91957,1.41642,0.0098482,0.0098482,0.0098482
25,816.116,1.16868,0.86763,1.30661,0.583,0.65075,0.66397,0.43962,1.22749,0.91348,1.4257,0.0098416,0.0098416,0.0098416
26,849.291,1.17409,0.87879,1.31464,0.6783,0.6469,0.70408,0.47581,1.18504,0.84698,1.39133,0.009835,0.009835,0.009835
27,881.589,1.1639,0.85569,1.30242,0.67967,0.67508,0.7311,0.50077,1.15872,0.81731,1.36892,0.0098284,0.0098284,0.0098284
28,913.833,1.15013,0.84781,1.29997,0.65989,0.65343,0.71467,0.48404,1.17897,0.83739,1.39104,0.0098218,0.0098218,0.0098218
29,946.049,1.14794,0.84318,1.30053,0.65096,0.69207,0.73227,0.50521,1.15108,0.81989,1.37245,0.0098152,0.0098152,0.0098152
30,979.302,1.14302,0.82136,1.28844,0.71414,0.67874,0.74617,0.52071,1.14938,0.78913,1.36626,0.0098086,0.0098086,0.0098086
31,1012.27,1.13191,0.80786,1.28288,0.67462,0.70983,0.74597,0.51722,1.1578,0.80357,1.37238,0.009802,0.009802,0.009802
32,1045.47,1.11447,0.79276,1.27299,0.70229,0.6999,0.76189,0.53114,1.16422,0.77666,1.38026,0.0097954,0.0097954,0.0097954
33,1078.73,1.10086,0.77853,1.26561,0.72015,0.66626,0.74881,0.52327,1.15047,0.78974,1.37185,0.0097888,0.0097888,0.0097888
34,1111.6,1.10792,0.77472,1.26392,0.70648,0.70197,0.76343,0.53705,1.13299,0.751,1.35393,0.0097822,0.0097822,0.0097822
35,1145.22,1.10262,0.76774,1.25445,0.73459,0.68423,0.76809,0.53382,1.13356,0.75355,1.35611,0.0097756,0.0097756,0.0097756
36,1177.77,1.09036,0.74789,1.25212,0.70911,0.67829,0.75497,0.53499,1.14136,0.76099,1.35998,0.009769,0.009769,0.009769
37,1211.68,1.09024,0.75175,1.24559,0.73714,0.71213,0.79175,0.55888,1.11708,0.73646,1.34804,0.0097624,0.0097624,0.0097624
38,1244.16,1.08005,0.74028,1.24618,0.71849,0.70678,0.77531,0.55485,1.10857,0.73143,1.33472,0.0097558,0.0097558,0.0097558
39,1277.43,1.07749,0.72952,1.24038,0.67841,0.69339,0.74595,0.51898,1.16578,0.77439,1.38098,0.0097492,0.0097492,0.0097492
40,1310.26,1.06779,0.72047,1.23328,0.74531,0.71895,0.79938,0.56377,1.11258,0.72105,1.33485,0.0097426,0.0097426,0.0097426
41,1343.62,1.06825,0.72006,1.23033,0.69374,0.69618,0.77333,0.53901,1.14827,0.74913,1.36106,0.009736,0.009736,0.009736
42,1376.66,1.05471,0.7062,1.22666,0.74078,0.72283,0.7951,0.56071,1.10786,0.71702,1.33372,0.0097294,0.0097294,0.0097294
43,1409.68,1.05205,0.71083,1.23466,0.74202,0.71124,0.78197,0.55031,1.13367,0.73646,1.3492,0.0097228,0.0097228,0.0097228
44,1443.03,1.04286,0.69677,1.21745,0.72584,0.74954,0.81129,0.57406,1.1023,0.70265,1.32905,0.0097162,0.0097162,0.0097162
45,1476.25,1.04754,0.69452,1.22119,0.72998,0.73666,0.80504,0.57478,1.10286,0.70113,1.32311,0.0097096,0.0097096,0.0097096
46,1509.66,1.04281,0.68622,1.21947,0.74889,0.77898,0.82221,0.58484,1.09549,0.67662,1.31954,0.009703,0.009703,0.009703
47,1542.98,1.03059,0.67779,1.2158,0.66995,0.68705,0.73024,0.5156,1.12955,0.76454,1.35448,0.0096964,0.0096964,0.0096964
48,1576.38,1.03592,0.67745,1.21332,0.73232,0.74421,0.80165,0.57314,1.08839,0.69795,1.31907,0.0096898,0.0096898,0.0096898
49,1609.28,1.01842,0.66264,1.20677,0.75547,0.7157,0.80693,0.58326,1.07905,0.69117,1.31067,0.0096832,0.0096832,0.0096832
50,1642.5,1.02135,0.66146,1.20218,0.76104,0.74055,0.82575,0.58924,1.09347,0.67092,1.31795,0.0096766,0.0096766,0.0096766
51,1675.73,1.01382,0.6568,1.1995,0.73574,0.71774,0.79642,0.56921,1.08817,0.69817,1.32669,0.00967,0.00967,0.00967
52,1709.28,1.00969,0.65582,1.1941,0.70567,0.73945,0.79288,0.57026,1.07529,0.71006,1.30543,0.0096634,0.0096634,0.0096634
53,1741.9,1.00496,0.647,1.20184,0.71858,0.7591,0.81499,0.58068,1.11105,0.68983,1.33932,0.0096568,0.0096568,0.0096568
54,1775.55,1.00605,0.65099,1.19639,0.80568,0.72962,0.82824,0.59621,1.0938,0.66943,1.32338,0.0096502,0.0096502,0.0096502
55,1808.11,0.99652,0.64507,1.19477,0.78405,0.73156,0.82848,0.59931,1.07606,0.65196,1.30472,0.0096436,0.0096436,0.0096436
56,1841.95,0.99688,0.63276,1.19063,0.77706,0.7653,0.83322,0.60184,1.08782,0.65233,1.32001,0.009637,0.009637,0.009637
57,1875.53,0.9841,0.62155,1.17749,0.76641,0.73,0.82325,0.60059,1.07139,0.65246,1.31036,0.0096304,0.0096304,0.0096304
58,1908.25,0.98693,0.62638,1.18927,0.77997,0.74377,0.82766,0.59621,1.08243,0.65647,1.32249,0.0096238,0.0096238,0.0096238
59,1941.54,0.99067,0.62386,1.18835,0.76771,0.76679,0.83129,0.59917,1.09154,0.65437,1.31572,0.0096172,0.0096172,0.0096172
60,1974.61,0.98237,0.61837,1.18484,0.80151,0.73458,0.83385,0.60514,1.07353,0.63715,1.30829,0.0096106,0.0096106,0.0096106
61,2008.88,0.97699,0.61382,1.17239,0.72238,0.77357,0.8194,0.59225,1.07654,0.6616,1.31162,0.009604,0.009604,0.009604
62,2041.88,0.97973,0.61405,1.17398,0.80023,0.71184,0.82894,0.60277,1.06332,0.64148,1.30405,0.0095974,0.0095974,0.0095974
63,2075.33,0.97275,0.60347,1.16812,0.79141,0.74486,0.83243,0.60287,1.063,0.62872,1.30155,0.0095908,0.0095908,0.0095908
64,2108.2,0.97327,0.60019,1.17155,0.78161,0.77703,0.85026,0.61778,1.0648,0.62383,1.30253,0.0095842,0.0095842,0.0095842
65,2141.85,0.96674,0.60419,1.16599,0.81402,0.74107,0.84813,0.61959,1.04949,0.6251,1.28808,0.0095776,0.0095776,0.0095776
66,2174.68,0.96346,0.59534,1.16692,0.77644,0.78442,0.85171,0.62804,1.05173,0.61066,1.29373,0.009571,0.009571,0.009571
67,2208.58,0.9686,0.59658,1.17375,0.78432,0.73143,0.82566,0.60517,1.05805,0.64481,1.29356,0.0095644,0.0095644,0.0095644
68,2242.87,0.96376,0.59244,1.17265,0.79243,0.78007,0.84831,0.62864,1.04274,0.61806,1.28449,0.0095578,0.0095578,0.0095578
69,2275.49,0.95317,0.58187,1.16151,0.7739,0.73445,0.82377,0.60096,1.05814,0.64658,1.29297,0.0095512,0.0095512,0.0095512
70,2309.37,0.95502,0.57195,1.15845,0.76155,0.74799,0.83089,0.60614,1.05735,0.63396,1.29906,0.0095446,0.0095446,0.0095446
71,2341.7,0.94665,0.58251,1.15396,0.76697,0.74508,0.82302,0.60792,1.04145,0.63723,1.29118,0.009538,0.009538,0.009538
72,2375.58,0.95271,0.58021,1.1585,0.80966,0.77931,0.86077,0.63106,1.05235,0.59821,1.29078,0.0095314,0.0095314,0.0095314
73,2407.87,0.94654,0.57995,1.15959,0.77763,0.78906,0.85241,0.62154,1.05729,0.60799,1.29062,0.0095248,0.0095248,0.0095248
74,2441.38,0.94094,0.5715,1.15286,0.77245,0.7586,0.83534,0.61454,1.04148,0.61568,1.28095,0.0095182,0.0095182,0.0095182
75,2473.88,0.94112,0.57288,1.14778,0.78973,0.78653,0.84931,0.62529,1.04553,0.60176,1.28827,0.0095116,0.0095116,0.0095116
76,2507.24,0.93745,0.56552,1.14953,0.80165,0.7682,0.85349,0.62691,1.03707,0.60283,1.27985,0.009505,0.009505,0.009505
77,2540.22,0.92924,0.5613,1.14375,0.77049,0.7715,0.83947,0.61954,1.03981,0.61652,1.28492,0.0094984,0.0094984,0.0094984
78,2573.1,0.93326,0.55782,1.14595,0.79911,0.77033,0.85821,0.63654,1.02708,0.59564,1.27634,0.0094918,0.0094918,0.0094918
79,2606.46,0.93729,0.56233,1.1487,0.77683,0.77964,0.84679,0.62614,1.04141,0.60279,1.28601,0.0094852,0.0094852,0.0094852
80,2639.29,0.92858,0.55587,1.14122,0.80941,0.77767,0.8588,0.6344,1.04254,0.59887,1.29278,0.0094786,0.0094786,0.0094786
81,2672.82,0.92185,0.54995,1.14266,0.79317,0.7729,0.85149,0.62988,1.0351,0.60013,1.2858,0.009472,0.009472,0.009472
82,2705.46,0.92639,0.5514,1.14288,0.77464,0.77921,0.84584,0.61986,1.04721,0.60153,1.2927,0.0094654,0.0094654,0.0094654
83,2739.05,0.91749,0.55211,1.14424,0.82982,0.7637,0.86592,0.63865,1.03349,0.59159,1.28433,0.0094588,0.0094588,0.0094588
84,2771.6,0.91636,0.54783,1.13486,0.78984,0.79655,0.86032,0.64061,1.02831,0.60181,1.27607,0.0094522,0.0094522,0.0094522
