epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2458,4.09158,5.92632,4.3178,0,0,0,0,3.94571,5.01727,4.18184,0.00329932,0.00329932,0.00329932
2,96.229,2.80984,3.82604,2.96589,0.14894,0.08189,0.02666,0.00851,2.41782,3.59703,2.79973,0.00662828,0.00662828,0.00662828
3,145.171,2.20179,2.7872,2.15805,0.19768,0.23938,0.13437,0.06159,1.96252,2.23502,2.16318,0.00995283,0.00995283,0.00995283
4,193.696,1.93676,2.30495,1.90973,0.20182,0.28428,0.17223,0.07519,1.87755,2.0495,2.07001,0.0099802,0.0099802,0.0099802
5,242.247,1.75276,1.96604,1.75487,0.22878,0.36094,0.23005,0.11244,1.77051,1.89858,1.99439,0.0099736,0.0099736,0.0099736
6,290.288,1.64509,1.74916,1.67606,0.2641,0.41459,0.28912,0.15131,1.63995,1.81383,1.86688,0.009967,0.009967,0.009967
7,339.189,1.57718,1.58241,1.62555,0.31057,0.38032,0.29805,0.15115,1.70918,1.76585,1.91145,0.0099604,0.0099604,0.0099604
8,386.52,1.51813,1.48185,1.57616,0.33146,0.42349,0.3447,0.19135,1.59066,1.64003,1.81024,0.0099538,0.0099538,0.0099538
9,433.605,1.47731,1.38216,1.54125,0.4067,0.51514,0.43227,0.25587,1.39037,1.38067,1.65251,0.0099472,0.0099472,0.0099472
10,482.921,1.43202,1.31448,1.50782,0.39452,0.48985,0.43764,0.24603,1.53391,1.35402,1.74619,0.0099406,0.0099406,0.0099406
11,532.71,1.38871,1.25722,1.48281,0.42002,0.49763,0.44437,0.25466,1.50736,1.37193,1.75309,0.009934,0.009934,0.009934
12,582.53,1.37234,1.20244,1.46478,0.4776,0.55078,0.51373,0.3179,1.39905,1.21393,1.65138,0.0099274,0.0099274,0.0099274
13,632.198,1.34975,1.14289,1.45041,0.52387,0.52797,0.56201,0.34934,1.36372,1.13845,1.60886,0.0099208,0.0099208,0.0099208
14,682.878,1.32293,1.11922,1.43925,0.53722,0.57159,0.57972,0.36609,1.33446,1.10067,1.59035,0.0099142,0.0099142,0.0099142
15,732.997,1.30753,1.0879,1.42501,0.4437,0.54944,0.49715,0.31014,1.33257,1.17836,1.58358,0.0099076,0.0099076,0.0099076
16,783.638,1.28725,1.05503,1.40605,0.54345,0.57938,0.59795,0.37912,1.325,1.07644,1.58163,0.009901,0.009901,0.009901
17,833.548,1.27969,1.02631,1.40152,0.48459,0.58456,0.57922,0.36472,1.3226,1.07256,1.56915,0.0098944,0.0098944,0.0098944
18,883.057,1.26739,1.00228,1.39752,0.55024,0.5834,0.6198,0.41008,1.25128,1.00068,1.52158,0.0098878,0.0098878,0.0098878
19,931.233,1.24278,0.97402,1.37247,0.58628,0.56675,0.61016,0.39111,1.32929,1.02089,1.56519,0.0098812,0.0098812,0.0098812
20,978.306,1.2398,0.96142,1.36514,0.61111,0.60397,0.63734,0.40895,1.28798,0.98766,1.53795,0.0098746,0.0098746,0.0098746
21,1025.36,1.21508,0.93353,1.35916,0.63365,0.59223,0.66207,0.4339,1.23749,0.95636,1.5117,0.009868,0.009868,0.009868
22,1072.46,1.19592,0.91325,1.34282,0.61697,0.62652,0.67744,0.44652,1.2476,0.92762,1.51004,0.0098614,0.0098614,0.0098614
23,1119.15,1.20348,0.89087,1.33975,0.63977,0.62977,0.67427,0.44234,1.22732,0.88795,1.49333,0.0098548,0.0098548,0.0098548
24,1166.81,1.18444,0.88021,1.32821,0.67152,0.61003,0.69272,0.46457,1.21941,0.9188,1.48619,0.0098482,0.0098482,0.0098482
25,1214.39,1.17439,0.86587,1.3235,0.64797,0.63729,0.68947,0.46134,1.22654,0.90053,1.48889,0.0098416,0.0098416,0.0098416
26,1262.76,1.16508,0.853,1.31229,0.63324,0.63924,0.69436,0.47119,1.20275,0.88832,1.47783,0.009835,0.009835,0.009835
27,1311.78,1.15854,0.83687,1.30253,0.67708,0.65673,0.72172,0.47816,1.21119,0.874,1.49037,0.0098284,0.0098284,0.0098284
28,1359.96,1.14633,0.833,1.30672,0.65053,0.64385,0.68764,0.46545,1.20134,0.88583,1.46814,0.0098218,0.0098218,0.0098218
29,1407.74,1.14435,0.82153,1.30173,0.64999,0.69132,0.73908,0.50806,1.17107,0.84718,1.44235,0.0098152,0.0098152,0.0098152
30,1456.02,1.12247,0.79046,1.27751,0.67331,0.70279,0.74103,0.50422,1.17194,0.82371,1.45408,0.0098086,0.0098086,0.0098086
31,1504.51,1.12195,0.78332,1.2813,0.67917,0.69332,0.72515,0.49029,1.1723,0.83347,1.45593,0.009802,0.009802,0.009802
32,1552.03,1.1223,0.78383,1.28719,0.58921,0.67,0.67777,0.46106,1.15462,0.86739,1.4379,0.0097954,0.0097954,0.0097954
33,1600.49,1.11005,0.7711,1.2687,0.74202,0.64615,0.75053,0.50864,1.16942,0.81431,1.44714,0.0097888,0.0097888,0.0097888
34,1648.85,1.10917,0.76812,1.26941,0.68207,0.69326,0.75626,0.5181,1.16519,0.80751,1.44691,0.0097822,0.0097822,0.0097822
35,1696.92,1.09954,0.75204,1.26973,0.72673,0.6918,0.77263,0.53675,1.14098,0.78075,1.42531,0.0097756,0.0097756,0.0097756
36,1743.99,1.07789,0.73606,1.25368,0.71028,0.69745,0.76615,0.52779,1.12226,0.77853,1.40844,0.009769,0.009769,0.009769
37,1790.92,1.08661,0.74289,1.25575,0.69352,0.71159,0.76377,0.53312,1.14799,0.7892,1.4336,0.0097624,0.0097624,0.0097624
38,1837.89,1.07541,0.72655,1.24917,0.74482,0.68931,0.77316,0.53293,1.15701,0.77774,1.42878,0.0097558,0.0097558,0.0097558
39,1884.9,1.0657,0.71651,1.24085,0.71149,0.70889,0.77161,0.5394,1.1124,0.75391,1.40119,0.0097492,0.0097492,0.0097492
40,1931.97,1.08041,0.72751,1.24379,0.73358,0.67196,0.75696,0.52402,1.13372,0.787,1.41423,0.0097426,0.0097426,0.0097426
41,1980.16,1.05994,0.71268,1.24431,0.72571,0.71393,0.79222,0.55646,1.10583,0.74353,1.38898,0.009736,0.009736,0.009736
42,2029.48,1.05069,0.70038,1.23045,0.75058,0.71904,0.8013,0.55977,1.10599,0.72055,1.39634,0.0097294,0.0097294,0.0097294
43,2079.06,1.04901,0.69607,1.23151,0.72815,0.6928,0.77037,0.53678,1.13282,0.75068,1.41353,0.0097228,0.0097228,0.0097228
44,2127.03,1.04537,0.68577,1.23038,0.75738,0.72124,0.80123,0.5642,1.1157,0.73073,1.39907,0.0097162,0.0097162,0.0097162
45,2175.43,1.03638,0.67941,1.22241,0.73991,0.68226,0.77336,0.54934,1.09952,0.73528,1.38294,0.0097096,0.0097096,0.0097096
46,2223.74,1.02867,0.66746,1.21427,0.69336,0.76124,0.79957,0.5631,1.08881,0.72463,1.37815,0.009703,0.009703,0.009703
47,2271.04,1.02985,0.67381,1.22107,0.73014,0.7119,0.79007,0.55087,1.09472,0.71958,1.37841,0.0096964,0.0096964,0.0096964
48,2318.09,1.02553,0.66308,1.2134,0.75896,0.73257,0.81505,0.58125,1.08259,0.69564,1.38131,0.0096898,0.0096898,0.0096898
49,2365.41,1.0212,0.65097,1.21416,0.7521,0.7492,0.81936,0.58759,1.07993,0.69564,1.37547,0.0096832,0.0096832,0.0096832
50,2414.1,1.01254,0.6558,1.2132,0.78363,0.75191,0.82459,0.58675,1.08903,0.68479,1.3739,0.0096766,0.0096766,0.0096766
51,2463.26,1.01703,0.66097,1.21216,0.72502,0.75969,0.80467,0.56862,1.08902,0.69374,1.37772,0.00967,0.00967,0.00967
52,2512.28,1.01785,0.64405,1.20948,0.75448,0.76318,0.8238,0.58721,1.0907,0.68611,1.38192,0.0096634,0.0096634,0.0096634
53,2560.51,1.0047,0.63533,1.19756,0.72518,0.74317,0.7997,0.56771,1.08602,0.69817,1.38244,0.0096568,0.0096568,0.0096568
54,2608.31,1.01186,0.63193,1.2053,0.76478,0.74076,0.81477,0.57641,1.09105,0.68388,1.37593,0.0096502,0.0096502,0.0096502
55,2656.78,0.99953,0.63305,1.19755,0.7399,0.71756,0.80155,0.56843,1.08079,0.71293,1.37116,0.0096436,0.0096436,0.0096436
56,2705.49,0.98703,0.62098,1.1908,0.75483,0.72761,0.80636,0.56925,1.0956,0.70876,1.38966,0.009637,0.009637,0.009637
57,2755.14,0.99116,0.62416,1.18746,0.78885,0.7393,0.82335,0.58877,1.07757,0.68551,1.36699,0.0096304,0.0096304,0.0096304
58,2803.76,0.98399,0.61403,1.18744,0.75671,0.74277,0.81935,0.58804,1.06333,0.67741,1.35845,0.0096238,0.0096238,0.0096238
59,2852.21,0.99161,0.61358,1.18679,0.74759,0.74589,0.81681,0.58592,1.07241,0.68345,1.36357,0.0096172,0.0096172,0.0096172
60,2901.24,0.98428,0.61026,1.18359,0.76315,0.76319,0.8184,0.59056,1.05634,0.65766,1.35372,0.0096106,0.0096106,0.0096106
61,2950.99,0.97911,0.60793,1.17836,0.74833,0.77295,0.82965,0.59797,1.05606,0.66569,1.34716,0.009604,0.009604,0.009604
62,2999.64,0.97576,0.60383,1.18373,0.77498,0.71987,0.81184,0.58503,1.06246,0.68506,1.3565,0.0095974,0.0095974,0.0095974
63,3046.99,0.96784,0.5979,1.17997,0.78978,0.75707,0.83288,0.60755,1.05242,0.63993,1.34504,0.0095908,0.0095908,0.0095908
64,3095.38,0.9672,0.59639,1.17781,0.74985,0.76018,0.82234,0.59606,1.0656,0.66034,1.36086,0.0095842,0.0095842,0.0095842
65,3144.73,0.96203,0.59084,1.17612,0.77585,0.76776,0.84003,0.60413,1.04832,0.62836,1.35119,0.0095776,0.0095776,0.0095776
66,3192.18,0.95421,0.58623,1.1638,0.78603,0.76897,0.84151,0.6085,1.04933,0.63977,1.34804,0.009571,0.009571,0.009571
67,3239.93,0.9632,0.58857,1.17767,0.78533,0.75404,0.83516,0.60647,1.04458,0.63694,1.33907,0.0095644,0.0095644,0.0095644
68,3287.65,0.95855,0.58549,1.16547,0.79134,0.73953,0.8303,0.60139,1.0551,0.64539,1.35569,0.0095578,0.0095578,0.0095578
69,3334.74,0.94349,0.57266,1.15715,0.78574,0.75043,0.83319,0.60421,1.04238,0.64901,1.33532,0.0095512,0.0095512,0.0095512
70,3381.59,0.94732,0.57541,1.16283,0.76628,0.76727,0.8299,0.60185,1.04817,0.64802,1.33926,0.0095446,0.0095446,0.0095446
71,3428.53,0.94367,0.57574,1.15622,0.76864,0.77588,0.83498,0.60477,1.03253,0.63437,1.33333,0.009538,0.009538,0.009538
72,3475.48,0.94222,0.56654,1.15663,0.80363,0.7711,0.85475,0.62526,1.04175,0.6214,1.3346,0.0095314,0.0095314,0.0095314
73,3522.41,0.9392,0.56586,1.15786,0.77222,0.77791,0.83971,0.62143,1.03471,0.62587,1.33613,0.0095248,0.0095248,0.0095248
