epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2474,4.09673,5.88892,4.25233,0,0,0,0,4.12709,5.04098,4.16769,0.00329932,0.00329932,0.00329932
2,99.3275,2.8189,3.81656,2.93864,0.35183,0.07465,0.02266,0.00802,2.27853,3.70208,2.51165,0.00662828,0.00662828,0.00662828
3,148.486,2.18411,2.74158,2.13742,0.12673,0.30177,0.137,0.05428,1.94209,2.23667,2.05154,0.00995283,0.00995283,0.00995283
4,197.44,1.91374,2.23709,1.88331,0.21142,0.29881,0.17712,0.07718,1.93536,2.1573,2.05771,0.0099802,0.0099802,0.0099802
5,246.519,1.73484,1.94287,1.74483,0.25885,0.34495,0.22905,0.11036,1.73901,1.84434,1.86611,0.0099736,0.0099736,0.0099736
6,295.47,1.62682,1.73586,1.6535,0.28403,0.34961,0.27971,0.13945,1.61133,1.60177,1.7551,0.009967,0.009967,0.009967
7,344.556,1.57223,1.59862,1.61099,0.32868,0.41107,0.35311,0.1961,1.52956,1.43272,1.70362,0.0099604,0.0099604,0.0099604
8,394.216,1.51799,1.49192,1.57201,0.3459,0.44372,0.36475,0.20946,1.49872,1.40272,1.67461,0.0099538,0.0099538,0.0099538
9,443.512,1.46699,1.39673,1.53071,0.36483,0.40202,0.3351,0.19092,1.52825,1.50484,1.69582,0.0099472,0.0099472,0.0099472
10,492.582,1.43844,1.32287,1.503,0.37178,0.43991,0.39446,0.22727,1.47261,1.38658,1.62325,0.0099406,0.0099406,0.0099406
11,542.444,1.38541,1.25422,1.47525,0.45525,0.44022,0.39974,0.22715,1.50798,1.43513,1.65967,0.009934,0.009934,0.009934
12,592.12,1.36303,1.18813,1.45329,0.57267,0.48653,0.5071,0.30539,1.43886,1.21983,1.59519,0.0099274,0.0099274,0.0099274
13,640.953,1.34666,1.16653,1.44488,0.4607,0.49441,0.46177,0.28383,1.3785,1.24119,1.5534,0.0099208,0.0099208,0.0099208
14,689.67,1.32834,1.13352,1.42369,0.3427,0.45998,0.37061,0.22133,1.43779,1.48139,1.6065,0.0099142,0.0099142,0.0099142
15,738.431,1.29825,1.08522,1.41704,0.51758,0.57147,0.56133,0.35692,1.31313,1.05436,1.50261,0.0099076,0.0099076,0.0099076
16,787.365,1.28526,1.0626,1.39771,0.50032,0.60467,0.58484,0.37145,1.33063,1.03661,1.50338,0.009901,0.009901,0.009901
17,836.219,1.25918,1.04167,1.39295,0.55403,0.62805,0.6239,0.41067,1.25109,0.96865,1.44954,0.0098944,0.0098944,0.0098944
18,884.975,1.25099,1.01018,1.37323,0.55943,0.58847,0.60895,0.39403,1.28269,0.98359,1.4763,0.0098878,0.0098878,0.0098878
19,933.764,1.23573,0.98344,1.36453,0.57661,0.6287,0.61901,0.41299,1.23887,0.95311,1.43744,0.0098812,0.0098812,0.0098812
20,982.635,1.23073,0.96379,1.35139,0.58447,0.62779,0.66397,0.43634,1.21668,0.91728,1.42639,0.0098746,0.0098746,0.0098746
21,1031.45,1.20792,0.94451,1.34179,0.52942,0.60142,0.6075,0.39778,1.23396,0.98019,1.44265,0.009868,0.009868,0.009868
